month,year,brandname,productname,name,weight
8,2020,Mahavir Steel,Angle,25*25*3mm,11.0
8,2020,TATA Pipes,G.I. Pipe(Mtr),100_5.4_C Class,1480.0
8,2020,G.D.MALHOTRA,Beam,100*50 L,1707.3
8,2020,Mahavir Steel,Channel,75*40 -1.7,34.2
8,2020,Polish Bar,Polish Bar,R 16mm,9.5
8,2020,TATA Pipes,Round_Pipes (Mtr),150_C CLASS_5.4mm,5836.2
8,2020,Rajuri TMT,TMT,06 MM,195.7
8,2020,VIZAG / SAIL,Channel,200*75 STD,8909.3
8,2020,AM/NS (Essar),SHEET ,3mm*1020*3050,146.0
8,2020,G.D.MALHOTRA,Channel,70*35,4160.0
8,2020,TATA Structura,Square_Pipe,25*25*1.6_YST210,2937.2
8,2020,TATA Pipes,Round_Pipes (Mtr),125_C CLASS_5.4mm,3329.4
8,2020,VIZAG / SAIL,Channel,100*50 STD,45582.9
8,2020,VIZAG / SAIL,Channel,125*65 STD,9889.2
8,2020,VIZAG / SAIL,Angle,90*90*8mm,1404.0
8,2020,VIZAG / SAIL,Beam,150*75 STD,180.0
8,2020,AM/NS (Essar),Plate,8mm*1250*2500,1666.0
8,2020,Mahavir Steel,Flat,300*10,600.5
8,2020,TATA Structura,Square_Pipe,40*40*2.0_YST210,2289.0
8,2020,Rolling,Round_Bar,12mm,555.4
8,2020,Rolling,Flat,25*5,696.0
8,2020,TATA Structura,Square_Pipe,20*20*1.2_YST210,724.5
8,2020,TATA Structura,Square_Pipe,20*20*1.6_YST210,1873.8
8,2020,TATA Structura,Square_Pipe,50*50*1.6_YST210,5145.0
8,2020,Rolling,Flat,25*6,187.2
8,2020,As Per IS2062,Flat,200*8,176.4
8,2020,AM/NS (Essar),Plate,6mm*1250*6300,206.3
8,2020,AM/NS (Essar),Plate,12mm*1250*6300,558.8
8,2020,AM/NS (Essar),SHEET ,3.15mm*1250*2500,1716.0
8,2020,G.D.MALHOTRA,Channel,75*40 -1.7,10082.6
8,2020,Rolling,Square_Bar,10*10,4.7
8,2020,As Per IS2062,Flat,100*12,225.6
8,2020,AM/NS (Essar),SHEET ,2mm*1250*2500,750.0
8,2020,G.D.MALHOTRA,Angle,40*40*5mm,1134.0
8,2020,TATA Structura,Square_Pipe,80*40*2.9_YST210,61.9
8,2020,AM/NS (Essar),Plate,8mm*1500*6300,7500.0
8,2020,As Per IS2062,Flat,50*16,37.8
8,2020,AM/NS (Essar),Plate,4mm*1250*2500,2400.0
8,2020,G.D.MALHOTRA,Flat,40*5,1507.2
8,2020,G.D.MALHOTRA,Flat,32*6,9.0
8,2020,As Per IS2062,Flat,40*8,105.0
8,2020,AM/NS (Essar),Plate,4mm*1500*6300,2900.0
8,2020,AM/NS (Essar),Plate,5mm*1500*6300,4500.0
8,2020,AM/NS (Essar),Plate,5mm*1250*2500,125.0
8,2020,AM/NS (Essar),Plate,5mm*1250*6300,2205.0
8,2020,AM/NS (Essar),Plate,12mm*2000*6300,942.0
8,2020,G.D.MALHOTRA,Channel,100*50 MED,2296.8
8,2020,G.D.MALHOTRA,Channel,75*40 -1.9,1716.0
8,2020,Mahavir Steel,Flat,300*12,1068.8
8,2020,G.D.MALHOTRA,Flat,75*12,42.6
8,2020,Mahavir Steel,Flat,100*12,56.4
8,2020,G.D.MALHOTRA,Angle,35*35*5mm,280.8
8,2020,G.D.MALHOTRA,Angle,50*50*5mm,1299.6
8,2020,TATA Structura,Square_Pipe,50*50*1.2_YST210,498.0
8,2020,TATA Structura,Square_Pipe,40*40*1.6_YST210,702.6999999999999
8,2020,TATA Structura,Square_Pipe,50*25*1.6_YST210,546.0
8,2020,AM/NS (Essar),Cheq.Plate,4mm*1250*5000 (Chq.),1050.0
