,month,year,brandid,pwid,brandname,productname,name,weight
0,8,2020,3,167,Mahavir Steel,Angle,25*25*3mm,11.0
1,8,2020,17,1,TATA Pipes,G.I. Pipe(Mtr),100_5.4_C Class,1480.0
2,8,2020,5,403,G.D.MALHOTRA,Beam,100*50 L,1707.3
3,8,2020,3,226,Mahavir Steel,Channel,75*40 -1.7,34.2
4,8,2020,16,526,Polish Bar,Polish Bar,R 16mm,9.5
5,8,2020,17,106,TATA Pipes,Round_Pipes (Mtr),150_C CLASS_5.4mm,5836.2
6,8,2020,8,239,Rajuri TMT,TMT,06 MM,195.7
7,8,2020,7,234,VIZAG / SAIL,Channel,200*75 STD,8909.3
8,8,2020,11,514,AM/NS (Essar),SHEET ,3mm*1020*3050,146.0
9,8,2020,5,223,G.D.MALHOTRA,Channel,70*35,4160.0
10,8,2020,1,20,TATA Structura,Square_Pipe,25*25*1.6_YST210,2937.2
11,8,2020,17,558,TATA Pipes,Round_Pipes (Mtr),125_C CLASS_5.4mm,3329.4
12,8,2020,7,228,VIZAG / SAIL,Channel,100*50 STD,45582.9
13,8,2020,7,231,VIZAG / SAIL,Channel,125*65 STD,9889.2
14,8,2020,7,206,VIZAG / SAIL,Angle,90*90*8mm,1404.0
15,8,2020,7,410,VIZAG / SAIL,Beam,150*75 STD,180.0
16,8,2020,11,467,AM/NS (Essar),Plate,8mm*1250*2500,1666.0
17,8,2020,3,341,Mahavir Steel,Flat,300*10,600.5
18,8,2020,1,27,TATA Structura,Square_Pipe,40*40*2.0_YST210,2289.0
19,8,2020,15,385,Rolling,Round_Bar,12mm,555.4
20,8,2020,15,254,Rolling,Flat,25*5,696.0
21,8,2020,1,145,TATA Structura,Square_Pipe,20*20*1.2_YST210,724.5
22,8,2020,1,146,TATA Structura,Square_Pipe,20*20*1.6_YST210,1873.8000000000002
23,8,2020,1,343,TATA Structura,Square_Pipe,50*50*1.6_YST210,5145.0
24,8,2020,15,255,Rolling,Flat,25*6,187.2
25,8,2020,14,328,As Per IS2062,Flat,200*8,176.4
26,8,2020,11,463,AM/NS (Essar),Plate,6mm*1250*6300,206.3
27,8,2020,11,444,AM/NS (Essar),Plate,12mm*1250*6300,558.8
28,8,2020,11,501,AM/NS (Essar),SHEET ,3.15mm*1250*2500,1716.0
29,8,2020,5,226,G.D.MALHOTRA,Channel,75*40 -1.7,10082.6
30,8,2020,15,371,Rolling,Square_Bar,10*10,4.7
31,8,2020,14,304,As Per IS2062,Flat,100*12,225.6
32,8,2020,11,507,AM/NS (Essar),SHEET ,2mm*1250*2500,750.0
33,8,2020,5,179,G.D.MALHOTRA,Angle,40*40*5mm,1134.0
34,8,2020,1,63,TATA Structura,Square_Pipe,80*40*2.9_YST210,61.9
35,8,2020,11,436,AM/NS (Essar),Plate,8mm*1500*6300,7500.0
36,8,2020,14,282,As Per IS2062,Flat,50*16,37.8
37,8,2020,11,432,AM/NS (Essar),Plate,4mm*1250*2500,2400.0
38,8,2020,5,267,G.D.MALHOTRA,Flat,40*5,1507.2
39,8,2020,5,261,G.D.MALHOTRA,Flat,32*6,9.0
40,8,2020,14,269,As Per IS2062,Flat,40*8,105.0
41,8,2020,11,476,AM/NS (Essar),Plate,4mm*1500*6300,2900.0
42,8,2020,11,435,AM/NS (Essar),Plate,5mm*1500*6300,4500.0
43,8,2020,11,433,AM/NS (Essar),Plate,5mm*1250*2500,125.0
44,8,2020,11,455,AM/NS (Essar),Plate,5mm*1250*6300,2205.0
45,8,2020,11,446,AM/NS (Essar),Plate,12mm*2000*6300,942.0
46,8,2020,5,229,G.D.MALHOTRA,Channel,100*50 MED,2296.8
47,8,2020,5,225,G.D.MALHOTRA,Channel,75*40 -1.9,1716.0
48,8,2020,3,342,Mahavir Steel,Flat,300*12,1068.8
49,8,2020,5,296,G.D.MALHOTRA,Flat,75*12,42.6
50,8,2020,3,304,Mahavir Steel,Flat,100*12,56.4
51,8,2020,5,175,G.D.MALHOTRA,Angle,35*35*5mm,280.8
